年月日,降水量の合計(mm),最低気温(℃),最高気温(℃),平均気温(℃)
2016/4/16,12.5,17.3,22.2,19.9
2016/4/17,45,15.7,22.9,19.9
2016/4/18,25,12.2,17.1,14.2
2016/4/19,0,13.3,22,17.2
2016/4/20,0,12.6,22.9,18.9
2016/4/21,162.5,19,23.2,21.7
2016/4/22,0.5,16.6,23.6,20
2016/4/23,86,13.9,22.8,17.4
2016/4/24,60.5,17.8,20.4,19.2
2016/4/25,30.5,19,20.4,19.6
2016/4/26,69,19.4,20.9,20.1
2016/4/27,67.5,19.5,24.2,21.2
2016/4/28,0,16.9,23.5,19.5
2016/4/29,0,16.1,21.9,18.6
2016/4/30,0,15.6,23.7,18.9
2016/5/1,0,13.2,25,19.8
2016/5/2,0,14.8,24.3,20.4
2016/5/3,118,17.2,23.4,20.9
2016/5/4,0,16.3,26.2,21.1
2016/5/5,0,14.2,25.4,20.6
2016/5/6,131,16.5,22.1,20.2
2016/5/7,4,19.9,24.8,22
2016/5/8,1,19.1,23,20.9
2016/5/9,44.5,20,25.5,22.5
2016/5/10,103.5,20.9,25.8,23.4
2016/5/11,2,16.4,22.8,19.5
2016/5/12,0,16.4,24.9,20.7
2016/5/13,0,16.7,24.9,21.1
2016/5/14,2,18.6,21.5,20.7
2016/5/15,13.5,21.1,25.5,23
2016/5/16,19,14.5,25.8,20.4
2016/5/17,0,15.4,22.9,18.6
2016/5/18,0,14,24.7,19.8
2016/5/19,0,17.8,24.6,21.2
2016/5/20,9.5,18.9,23.3,20.4
2016/5/21,2,20.2,22.3,21
2016/5/22,0.5,20.1,24.2,21.8
2016/5/23,3,18.1,25.6,21.7
2016/5/24,13,20.5,24,22.7
2016/5/25,82,22.6,24.7,23.5
2016/5/26,0,21.4,26.7,23.8
2016/5/27,0,20.1,27.5,23.7
2016/5/28,28,20.8,28.7,24
2016/5/29,21,22.5,27,24.1
2016/5/30,0,20.6,28,23.7
2016/5/31,0,20.2,27.2,22.9
2016/6/1,22.5,17.1,22.3,19.4
2016/6/2,0,17.8,26,21.8
2016/6/3,0,17.4,25.1,21.9
2016/6/4,34,18.4,23.8,21.3
2016/6/5,1.5,21,27.4,23.5
2016/6/6,0,21.5,25.7,22.9
2016/6/7,0.5,20.4,26.8,23.2
2016/6/8,0,19.9,27.6,23.8
2016/6/9,0,21.2,27.5,24.4
2016/6/10,0,22.2,28,25.2
2016/6/11,13.5,23.9,27,25
2016/6/12,48,23.3,27.8,25.3
2016/6/13,147.5,22.1,27,23.4
2016/6/14,0,21.8,26.7,23.7
2016/6/15,3,20.8,27.9,24.3
2016/6/16,33.5,22.7,30.6,25.9
2016/6/17,3.5,21.5,25.1,23.2
2016/6/18,0,21.5,27.8,24.8
2016/6/19,0,23.3,32.9,27.4
2016/6/20,0,23.7,30.4,27.2
2016/6/21,0,24.3,30.8,27.2
2016/6/22,0,23.7,31.9,27.4
2016/6/23,23,25.1,29.6,27
2016/6/24,2,24.2,33.4,28
2016/6/25,0,21.1,31.1,24.9
2016/6/26,3.5,18.6,25,21.1
2016/6/27,71,17.7,24.7,21.9
2016/6/28,13.5,23.2,29.8,25.9
2016/6/29,9.5,24.1,31.4,26.8
2016/6/30,13.5,22.7,28.9,24.6
2016/7/1,0,22,31.2,26.5
2016/7/2,0,23,31.5,27.9
2016/7/3,0,22.8,32,27.7
2016/7/4,0,23.9,32.4,28.3
2016/7/5,0,23.8,30.9,27.8
2016/7/6,0,24.6,30.6,27.5
2016/7/7,19.5,24,27.9,25.6
2016/7/8,251,23,27.5,25.6
2016/7/9,49,24.7,27.4,25.9
2016/7/10,72,24.4,27.9,25.8
2016/7/11,2,24.2,33.6,28.5
2016/7/12,0.5,26.6,33.2,29.3
2016/7/13,5,24.7,33.1,27.7
2016/7/14,60.5,24.8,29.4,26.5
2016/7/15,44.5,23.1,29.2,26
2016/7/16,3,25.2,32.1,28
2016/7/17,3.5,25.7,31.4,27.9
2016/7/18,0,24.8,32.1,27.8
2016/7/19,0,24.7,30.5,27.6
2016/7/20,5,24.9,30.9,27.6
2016/7/21,0,25.2,31.9,28.3
2016/7/22,0,24.6,32.1,28.5
2016/7/23,0,24.2,31.1,27.7
2016/7/24,0.5,24.7,31.1,27.7
2016/7/25,0,25.6,30.9,28
2016/7/26,0,24.5,30.8,27.3
2016/7/27,0,25.2,31.5,27.8
2016/7/28,0,24.8,31.6,27.9
2016/7/29,0.5,25.3,30.7,27.9
2016/7/30,0,24.7,31.6,27.9
2016/7/31,0,25,31.5,27.9
2016/8/1,0,24,31.4,27.4
2016/8/2,0,23.7,33,28.4
2016/8/3,0,25.4,31.7,28.8
2016/8/4,0,25.2,31.4,27.7
2016/8/5,0,25.1,31.3,27.8
2016/8/6,14,24.3,30.2,27.4
2016/8/7,0,26.3,31.3,28.3
2016/8/8,0.5,25,31.9,27.7
2016/8/9,0,24.1,32,27.6
2016/8/10,0,24.3,32.1,28
2016/8/11,0,25,32.2,28.3
2016/8/12,0,24.5,32.4,28
2016/8/13,0,25.2,32.7,28.5
2016/8/14,0,24.7,32.8,28.5
2016/8/15,0,25.2,33.9,29.1
2016/8/16,0,25.6,35.4,30.1
2016/8/17,3,25.2,32.8,28.8
2016/8/18,0,25.8,33,29
2016/8/19,0,25.7,33.1,29.1
2016/8/20,0,27.2,33.2,29.6
2016/8/21,0.5,26.7,32.8,29.5
2016/8/22,0.5,27.1,33.6,29.5
2016/8/23,0,26.2,32.9,29.5
2016/8/24,5.5,26.3,32.5,29
2016/8/25,3,25.9,31.9,28.7
2016/8/26,20,25.6,30.5,27.6
2016/8/27,0,25.5,30.9,27.9
2016/8/28,1,24,30.9,26.5
2016/8/29,1,23.7,29,26.1
2016/8/30,0,22.4,30.6,26.6
2016/8/31,0,20.8,31.1,25.7
2016/9/1,0,19.7,30.6,26.1
2016/9/2,0,25.3,30,27.7
2016/9/3,120.5,21.8,27.3,25.1
2016/9/4,0.5,24,30.8,27.2
2016/9/5,1,23.7,30.8,26.6
2016/9/6,19.5,25,30,26.9
2016/9/7,3.5,25.4,30.5,27.5
2016/9/8,0,24.2,29.7,26.9
2016/9/9,0,23.8,29.3,25.9
2016/9/10,0,21.9,29.6,25.9
2016/9/11,18.5,24.3,28.1,25.9
2016/9/12,47.5,24.6,30,26.7
2016/9/13,3.5,24.4,29,26.3
2016/9/14,3.5,23.9,29.9,26.4
2016/9/15,0,24,29.2,26.4
2016/9/16,1,23.8,30.2,26.8
2016/9/17,53,24.5,30.3,27.1
2016/9/18,7.5,25.5,31,27.4
2016/9/19,89.5,25,29,26.9
2016/9/20,6,21.9,28,25.8
2016/9/21,64.5,22.9,25.8,24.3
2016/9/22,0.5,21.5,28.5,24.8
2016/9/23,0,21.1,28.3,24
2016/9/24,2,21.7,28,25.1
2016/9/25,1.5,23.4,30.2,26.7
2016/9/26,12.5,25.1,30.4,27
2016/9/27,7.5,25.3,29.5,27.3
2016/9/28,0,26.1,29.5,27.5
2016/9/29,0,23.9,30,26.4
2016/9/30,0,23.1,29.7,26
2016/10/1,0,23.1,29.9,26.5
2016/10/2,0,24.5,29.8,27
2016/10/3,119,24,26.6,25
2016/10/4,4.5,25,28.1,27.2
2016/10/5,18,25,28.9,27
2016/10/6,0,24,28.1,25.7
2016/10/7,1,22.8,27.5,25.6
2016/10/8,0,23.4,30.7,26.2
2016/10/9,73.5,22.2,25.2,23.7
2016/10/10,8.5,21.3,24.1,22.9
2016/10/11,0,19.7,25.5,23.1
2016/10/12,3.5,21.4,24.8,23.4
2016/10/13,3,20.1,24.5,23.3
2016/10/14,4,19.8,25.8,22.9
2016/10/15,75.5,21.1,24,22.3
2016/10/16,27.5,21.9,25.3,23.9
2016/10/17,0,22.2,28.6,24.6
2016/10/18,0,23.1,27.3,24.9
2016/10/19,0,23.5,28.2,24.8
2016/10/20,0.5,21.9,28.3,24.6
2016/10/21,29,19.8,23.9,22
2016/10/22,85.5,22.9,29.9,24.3
2016/10/23,133,20.6,23.7,22.5
2016/10/24,0,20.1,23.7,22.4
2016/10/25,0,20.2,26.9,23.1
2016/10/26,0,20.3,26.3,23
2016/10/27,22,21.6,23.7,22.6
2016/10/28,1.5,22.3,28.5,25.1
2016/10/29,0,19.9,25.4,22.4
2016/10/30,0,19.4,21.9,21
2016/10/31,7.5,19,23.5,20.6
2016/11/1,0,16.1,22.1,19.3
2016/11/2,1,15.2,19.7,17.2
2016/11/3,0,15.2,19.5,17
2016/11/4,0,14.6,21.4,17.3
2016/11/5,0,13.8,22.3,17.8
2016/11/6,0,18.2,23.5,20.7
2016/11/7,0,18.8,22.9,20.4
2016/11/8,1.5,17.9,24,20.2
2016/11/9,0,16.8,20.9,18.9
2016/11/10,25.5,16.5,20,18.2
2016/11/11,0,16.4,21.7,18.7
2016/11/12,0,14.4,23.4,19.2
2016/11/13,0,17.1,24.9,21
2016/11/14,16,18.9,25,21.3
2016/11/15,3.5,19.3,24.6,20.9
2016/11/16,0,17.4,22.5,19.5
2016/11/17,20.5,16.2,23.2,19.7
2016/11/18,70.5,16,22.3,19.9
2016/11/19,1,19.2,27.6,22.3
2016/11/20,38.5,18.9,23.7,20.9
2016/11/21,19.5,19.6,22.3,20.8
2016/11/22,19.5,19.8,24.5,21.2
2016/11/23,0,16.3,20.3,18
2016/11/24,0,11,17.3,14.3
2016/11/25,0,10.3,17.3,13.8
2016/11/26,3,13.7,20.1,16.7
2016/11/27,19,15.5,20.3,18.5
2016/11/28,0,13.6,17.2,15.1
2016/11/29,0,11.3,17.9,14.1
2016/11/30,0,12.9,21.6,18.3
2016/12/1,2,15.3,20.8,17.8
2016/12/2,0,12.8,19.5,15.8
2016/12/3,0,12.2,21.3,17
2016/12/4,26.5,16.5,23.2,19
2016/12/5,1.5,15.8,18.4,17.1
2016/12/6,0,11.9,18.7,15.7
2016/12/7,0,8.8,17.9,14
2016/12/8,0,12.3,17.8,14.7
2016/12/9,0,11.2,22.4,16.7
2016/12/10,0,13.3,18,15.1
2016/12/11,0,12.8,17.4,15
2016/12/12,0.5,13.4,20.8,18
2016/12/13,23.5,17,21.6,18.7
2016/12/14,1.5,12.5,18,15.2
2016/12/15,8,8.8,13.9,11.2
2016/12/16,2.5,8,12.7,10.2
2016/12/17,0,8.6,16,11.6
2016/12/18,0,8.1,18.7,12.9
2016/12/19,0,11.3,20.5,16.6
2016/12/20,0.5,14.8,19.9,17.5
2016/12/21,0.5,16,22.4,19.7
2016/12/22,38.5,15.6,21.5,18.7
2016/12/23,0,13,16.8,15
2016/12/24,0,8.6,14.2,12.1
2016/12/25,0,11.1,18.9,15.9
2016/12/26,5.5,15.1,21.6,18
2016/12/27,18.5,11.1,19.5,14.5
2016/12/28,0,8.8,13.9,11.8
2016/12/29,13,10.5,16.6,12.1
2016/12/30,0,7.4,13.9,10
2016/12/31,0,7.6,15.6,12.3
2017/1/1,0,9.5,15.9,12.8
2017/1/2,0.5,9,18.3,14.1
2017/1/3,0,12.6,18.7,16.1
2017/1/4,0,13.4,18.4,15.2
2017/1/5,0,13.4,19.1,15.8
2017/1/6,14.5,13.2,17,14.9
2017/1/7,31,14.6,18.3,17.1
2017/1/8,15.5,15.8,21.7,17.4
2017/1/9,3,12.4,16.5,14.5
2017/1/10,0.5,11.6,16.6,13.4
2017/1/11,0,10.1,12.6,11.5
2017/1/12,2.5,8.8,12.4,10.6
2017/1/13,7,8.5,13,10.5
2017/1/14,0,7.6,12.9,10.2
2017/1/15,0,6.7,10,8.1
2017/1/16,0,5.3,10.6,8.3
2017/1/17,5,6.7,14,10.5
2017/1/18,67.5,10.4,15.2,13.1
2017/1/19,3.5,11.7,15.5,13.6
2017/1/20,10,6.8,13.3,10.7
2017/1/21,0,7.8,12,9.2
2017/1/22,10.5,7.3,14.5,10
2017/1/23,9.5,5.6,9.7,8
2017/1/24,0,7.3,11.3,9
2017/1/25,0,5.8,11.3,8.3
2017/1/26,0,6.4,14.1,9.2
2017/1/27,0,6.7,19.9,12.2
2017/1/28,1,9.2,17.2,13.2
2017/1/29,6.5,13.2,22.2,17.8
2017/1/30,4,10.1,20.9,15.1
2017/1/31,0,7,14.5,11.1
2017/2/1,0,10.6,17.7,13
2017/2/2,0,9.2,14.6,11
2017/2/3,0,9.6,15.7,12.3
2017/2/4,0,11.2,17,14.3
2017/2/5,5.5,12.9,19,16
2017/2/6,0,9.6,15.4,12.4
2017/2/7,0,7.8,14.2,11
2017/2/8,1.5,8.2,15.9,12.1
2017/2/9,20.5,5.3,11.6,9
2017/2/10,12,5,8.6,7
2017/2/11,13.5,4.5,9.9,7.6
2017/2/12,2.5,6.2,11.8,9.2
2017/2/13,0,8.4,13.8,10.4
2017/2/14,0,7.3,16.1,11.4
2017/2/15,0,7.3,15.3,10.9
2017/2/16,0,6.4,18.7,12.5
2017/2/17,1,11.4,23.4,16.7
2017/2/18,0,10.5,15.9,13.1
2017/2/19,0,8,14.7,11.1
2017/2/20,3,11.4,21.6,16.6
2017/2/21,0,8.5,15.6,12.1
2017/2/22,26.5,12.3,19.4,16
2017/2/23,41,10.5,21,13.6
2017/2/24,0,10,14.2,10.9
2017/2/25,0,8.9,13.8,10.9
2017/2/26,0,9.5,13,11.3
2017/2/27,0,10.4,15.8,12.4
2017/2/28,0,8.7,16.2,12
2017/3/1,12,8.8,13.6,11.3
2017/3/2,13,8.5,13.5,10.9
2017/3/3,0,8.7,15,11.1
2017/3/4,0,6.3,17,11.6
2017/3/5,22.5,8.9,16.2,13.6
2017/3/6,8,10.3,15.8,12.7
2017/3/7,0,10.1,14.3,11.6
2017/3/8,3.5,7.8,13.1,10.1
2017/3/9,9,7.6,14.6,10.6
2017/3/10,0,11,16.5,13.4
2017/3/11,0,8.3,17.8,13.2
2017/3/12,0,8,19.4,14
2017/3/13,59,12.8,15.6,14.4
2017/3/14,13,11.3,16.8,13.5
2017/3/15,0,10.7,15.3,12.6
2017/3/16,1,9.3,14.2,11.6
2017/3/17,0,9.3,17.4,13.3
2017/3/18,2.5,9.4,18.5,13.4
2017/3/19,0,12.7,16.9,15.7
2017/3/20,74.5,14.1,17.6,15.8
2017/3/21,1,13.1,18.6,15.9
2017/3/22,0,11.3,16.2,14
2017/3/23,21.5,11.7,14.3,13
2017/3/24,0.5,13.6,16.9,15.1
2017/3/25,55,11.3,14.5,13
2017/3/26,1,11.5,17.9,14
2017/3/27,0,11.2,16.5,13.3
2017/3/28,0,10.5,16.9,13.6
2017/3/29,0,10.6,19.2,15.1
2017/3/30,24,14.5,19.4,16.5
2017/3/31,70,13,19.4,15.8
2017/4/1,7,10.4,17.8,13.7
2017/4/2,5,9.4,17,13.1
2017/4/3,0,10.6,18.9,14.5
2017/4/4,0,9.2,21.4,16.2
2017/4/5,0,15.9,21.4,18.7
2017/4/6,46,17.8,19.5,18.9
2017/4/7,19,18.5,21.3,19.7
2017/4/8,23.5,16.3,24.3,19.7
2017/4/9,0,15.3,23.6,19.4
2017/4/10,60,16.4,20.9,18.5
2017/4/11,0,15.9,22.1,18.3
2017/4/12,0,15.3,21.2,17.5
2017/4/13,0,10.6,21.5,16.8
2017/4/14,0,8.9,22.6,17.3
2017/4/15,0,15.7,23.9,20
2017/4/16,45,16,23.9,19.1
2017/4/17,48.5,17.3,26.4,21.5
2017/4/18,0.5,15.7,22.7,19
2017/4/19,0,15.7,22.4,19.1
2017/4/20,6,14,19.7,16.9
2017/4/21,0,16.4,19.2,17.6
2017/4/22,0,14.7,20.6,17.6
2017/4/23,0,12.9,21.1,17.3
2017/4/24,0,15.1,21.8,18.1
2017/4/25,0,17.7,23.4,20.1
2017/4/26,111.5,15.8,20.3,17.6
2017/4/27,4,16.1,21.4,17.8
2017/4/28,0,11.6,21.2,17.1
2017/4/29,0,10.7,26,19.4
2017/4/30,0,12.5,25.2,18.6
2017/5/1,0,13.4,24,18.7
2017/5/2,0,13.9,23.2,18.8
2017/5/3,17.5,15.8,21.4,17.5
2017/5/4,39,17.7,20.5,18.8
2017/5/5,6,18.5,20.9,19.9
2017/5/6,0,18.6,24.9,20.9
2017/5/7,0,13.2,24.1,19.8
2017/5/8,0,12.7,25.6,20.2
2017/5/9,129.5,16.6,23,21.1
2017/5/10,0,17.5,24.9,21.3
2017/5/11,0,15.2,25.8,20.6
2017/5/12,43.5,15.3,25.7,21.5
2017/5/13,60.5,18,23.9,20.9
2017/5/14,0,16.7,26,20.8
2017/5/15,0,16.7,24.3,20.4
2017/5/16,4.5,13.8,19.5,16.4
2017/5/17,0,13.6,24.1,19
2017/5/18,0,14.4,23.1,19
2017/5/19,0,13,24.1,19.6
2017/5/20,0,13.8,25.1,20.3
2017/5/21,0,17.3,25.4,21.4
2017/5/22,2,18.9,24.7,21.5
2017/5/23,0,17.7,26.5,22.8
2017/5/24,7.5,20.6,25.1,22.3
2017/5/25,15,19.7,23.6,21.6
2017/5/26,0,18.3,27.5,22.3
2017/5/27,0,16.9,23.8,20.1
2017/5/28,0,15.4,23,19.5
2017/5/29,0,16.4,25.3,20.9
2017/5/30,0,16.5,26.5,22
2017/5/31,8.5,19,23.8,21.3
2017/6/1,0,18.5,26.5,22.7
2017/6/2,0,20.6,27.1,23.7
2017/6/3,0,17.4,26,21.9
2017/6/4,0,19.5,26.7,22.7
2017/6/5,0,18.9,26.9,22.7
2017/6/6,3.5,20.2,26.2,23.6
2017/6/7,5.5,19.9,27.8,23.7
2017/6/8,0,19.5,26.8,22.9
2017/6/9,0,18,26.9,22.2
2017/6/10,14,16.9,26.2,21.7
2017/6/11,83.5,17.7,25.9,20.8
2017/6/12,1,18.5,23.5,21
2017/6/13,5,19.2,23.5,20.9
2017/6/14,0.5,18.2,23.7,20.2
2017/6/15,0,18.5,26,22
2017/6/16,0,18,26,21.8
2017/6/17,9.5,19,24.6,21.5
2017/6/18,0,19,27.4,23.3
2017/6/19,0,19.9,27.9,23.9
2017/6/20,321.5,22,26.2,23.8
2017/6/21,1.5,20.7,27.8,24.4
2017/6/22,79.5,20.8,26.5,23.4
2017/6/23,133,23.1,24.7,24.1
2017/6/24,1,23.1,28.2,25.5
2017/6/25,37.5,22.2,28.8,25.1
2017/6/26,44,21.8,25.2,23
2017/6/27,64,22.5,26.1,24.1
2017/6/28,13,23.4,27.2,24.6
2017/6/29,12,23,30.3,26.6
2017/6/30,80.5,24,30.6,26.4
2017/7/1,30,24,29.6,26.7
2017/7/2,0,24.1,32.1,27.5
2017/7/3,6.5,23.9,31.4,27.8
2017/7/4,31.5,24.4,31.3,27
2017/7/5,23,23.9,29.3,26.1
2017/7/6,4.5,24.1,30.2,26.4
2017/7/7,0,24.1,30.4,27.5
2017/7/8,3,24.6,29.7,26.8
2017/7/9,0.5,23.8,30.7,27
2017/7/10,0,23.9,31,27.3
2017/7/11,0,25,31.4,27.9
2017/7/12,0,24.9,30.7,27.7
2017/7/13,0,24.1,30.5,27
2017/7/14,0,23.9,30.8,27.1
2017/7/15,0,23.5,30.9,27
2017/7/16,0,24,31.7,27.5
2017/7/17,0,23.4,32.6,27.8
2017/7/18,0,23.2,31.8,27.8
2017/7/19,90,23,27,24.8
2017/7/20,1,23.6,30.2,26.6
2017/7/21,3,24.4,31.6,27.9
2017/7/22,0,26.8,31.2,28.5
2017/7/23,0,25.8,32,28.6
2017/7/24,0,25,31.7,28.7
2017/7/25,0,26.2,31.2,28.3
2017/7/26,0,25.4,31.8,28.5
2017/7/27,0,26,31.7,28.6
2017/7/28,0,26.2,31.7,28.7
2017/7/29,0,25.4,32.3,28.8
2017/7/30,0,25.9,32.2,28.9
2017/7/31,0,26.1,32.5,29.2
2017/8/1,0,26.1,33.3,29.5
2017/8/2,0,27.2,33.6,30.1
2017/8/3,22.5,26.1,32,29.2
2017/8/4,26,27.1,29.5,28.6
2017/8/5,95.5,25.6,28.1,26.5
2017/8/6,130,25.4,31.1,27.2
2017/8/7,0,26.5,35.1,30.4
2017/8/8,0,26.1,32.5,29.2
2017/8/9,0,26.5,33,29.3
2017/8/10,12.5,25.9,32.7,29
2017/8/11,3,25.4,31.9,28.1
2017/8/12,0,24.2,31.6,27.7
2017/8/13,0,23.1,30.9,26.8
2017/8/14,0,23.8,31.9,27.8
2017/8/15,0,25.2,31.1,27.9
2017/8/16,0,25.3,32.7,29
2017/8/17,0,25.5,33.4,29
2017/8/18,0,25.1,32,28.3
2017/8/19,0,25.2,31.3,28.1
2017/8/20,1.5,24.8,31.8,28.3
2017/8/21,26,26.1,31,28.4
2017/8/22,0,27.2,31.5,28.9
2017/8/23,0,25.7,32.2,28.6
2017/8/24,0,24.1,31.4,28
2017/8/25,0,24.9,33,28.5
2017/8/26,0,25.4,32.6,28.4
2017/8/27,0.5,26.1,30.2,27.9
2017/8/28,36.5,24.7,31,27.1
2017/8/29,0,24.3,31.4,27.8
2017/8/30,0,23.9,31.7,28
2017/8/31,0,26,31.4,28.5
2017/9/1,0,24.6,29.9,27.3
2017/9/2,0,22.7,29.5,25.8
2017/9/3,0,22.6,29.3,25.5
2017/9/4,77.5,23.5,27.1,25.4
2017/9/5,275,23.8,30.7,27.2
2017/9/6,0,23.5,31.7,27.8
2017/9/7,7.5,25.3,32.9,27.7
2017/9/8,37.5,23.4,28.7,25.9
2017/9/9,0,21.8,29.9,25.7
2017/9/10,0,22.2,30.2,26.4
2017/9/11,0,25.4,30.8,27.8
2017/9/12,1,24.5,31.4,27.5
2017/9/13,3.5,24.2,28,25.8
2017/9/14,66.5,24.3,27.9,26.2
2017/9/15,72,23.9,27.9,25.6
2017/9/16,26.5,25.5,30,27.4
2017/9/17,27,25,30.8,26.8
2017/9/18,0,22.1,28.8,25.5
2017/9/19,0,21.6,28,24.6
2017/9/20,0,21.5,29.1,25.1
2017/9/21,68.5,20.8,25.1,22.8
2017/9/22,89.5,23.4,29.6,25.5
2017/9/23,1.5,23.3,28.9,25.7
2017/9/24,21.5,20.8,25.5,22.4
2017/9/25,3,22,25.7,24.2
2017/9/26,2.5,23.3,28.6,25.7
2017/9/27,5,24.3,29.2,25.9
2017/9/28,1.5,23.5,28.5,25.7
2017/9/29,0,19.6,27.2,23.7
2017/9/30,0,19.9,27.1,22.8
2017/10/1,0,20.8,27.9,24.9
2017/10/2,0,24,29.4,26.2
2017/10/3,19,23.2,28,25
2017/10/4,0,23.3,26.7,24.6
2017/10/5,0,22,25.9,24.1
2017/10/6,0,21.2,29.3,24.9
2017/10/7,0,23.1,28.6,24.8
2017/10/8,0,22.4,29.3,25.4
2017/10/9,0,21.6,28.7,24.9
2017/10/10,0,21.6,28.2,24.6
2017/10/11,0,21.2,28.7,24.7
2017/10/12,0,21.6,29.1,24.7
2017/10/13,0,21.9,26.8,24.3
2017/10/14,25,21.9,25.8,24.2
2017/10/15,38,21.7,24.9,23.8
2017/10/16,4,24,25.7,24.6
2017/10/17,25.5,22.6,24.3,23.6
2017/10/18,19.5,22.4,24.7,23.6
2017/10/19,2.5,22.1,24,23
2017/10/20,3,22.9,24.1,23.5
2017/10/21,87.5,21.5,24.3,23.1
2017/10/22,102.5,19.9,22.6,21.3
2017/10/23,0,18,24,21.1
2017/10/24,49.5,16.6,20.9,18.4
2017/10/25,0,14.3,22.6,19.3
2017/10/26,0,20.3,24.3,22.3
2017/10/27,67,21.3,23.7,22.5
2017/10/28,55,21.8,26.7,24.6
2017/10/29,82,19.8,25.6,22.2
2017/10/30,0,17.1,21,18.6
2017/10/31,0,14.1,21.6,18
2017/11/1,0,14.6,23.4,18.9
2017/11/2,0.5,17.9,24.9,20.7
2017/11/3,17.5,16.7,22.6,19.4
2017/11/4,0.5,16,20,18
2017/11/5,0,14.7,20.5,17.9
2017/11/6,0,16.6,24.2,20.7
2017/11/7,31,19.7,23,21.1
2017/11/8,48.5,19,22.2,20.4
2017/11/9,0,15.9,23.7,20.2
2017/11/10,0,16.1,24.3,20.5
2017/11/11,1,15.6,21.4,18.7
2017/11/12,0,15.1,19.8,18.4
2017/11/13,18,17.2,20.5,19.2
2017/11/14,24.5,16.9,21,18.5
2017/11/15,0,14,18.9,16.7
2017/11/16,0,13.4,17.4,15.5
2017/11/17,54,12.9,19.4,16.8
2017/11/18,113.5,14.4,21.5,18
2017/11/19,0,9.8,14.8,12.5
2017/11/20,0,9.9,15.1,12.8
2017/11/21,0,10,17.5,14.5
2017/11/22,39.5,15.4,19,17.4
2017/11/23,0,12.2,16.9,15
2017/11/24,1.5,10.3,15.6,12.6
2017/11/25,1,12.1,16.1,14
2017/11/26,24,13.6,18.9,15.5
2017/11/27,0,13.9,19.4,17.4
2017/11/28,0,15,22.9,18.3
2017/11/29,1.5,14.2,24.7,18.8
2017/11/30,0,14.6,22.8,17.5
2017/12/1,0,10.5,15.3,13.4
2017/12/2,1,10.3,16.5,14.6
2017/12/3,12,15.2,19,17.6
2017/12/4,30,13.5,17.9,16
2017/12/5,22,7.2,13.8,10.7
2017/12/6,0,7.2,12.3,9.7
2017/12/7,5.5,8.9,15.9,12.4
2017/12/8,36.5,8.8,12.8,11
2017/12/9,0,9.2,13.1,10.3
2017/12/10,0,7.9,17.9,13.8
2017/12/11,0,9.5,16.1,13.2
2017/12/12,0,8.8,12.3,10.4
2017/12/13,0,8.6,12,10.2
2017/12/14,0,6.4,13.4,10.6
2017/12/15,6,10.5,14.8,12.7
2017/12/16,18,10.2,13.7,12.2
2017/12/17,1,7.8,10.9,9.1
2017/12/18,0,8.1,12.1,9.9
2017/12/19,0,9.3,14.6,12
2017/12/20,0,10.5,14.4,11.6
2017/12/21,0,8.1,14.3,11.1
2017/12/22,0,8.7,15.3,11.6
2017/12/23,0,7.6,16.1,12
2017/12/24,27,13.4,18.2,16
2017/12/25,0,9.9,14.5,12.3
2017/12/26,0,9.8,12.8,11.7
2017/12/27,0,8.8,12.4,10.4
2017/12/28,0,7.8,13.4,10.1
2017/12/29,0,10.4,15.1,12.5
2017/12/30,0,6.8,16.1,11.6
2017/12/31,16,10.6,14.5,12.2
2018/1/1,0,9.2,13.5,11.4
2018/1/2,0,7.7,14,10.5
2018/1/3,0,10.5,16.2,12.3
2018/1/4,0,10,13.9,11.3
2018/1/5,30.5,9.7,13.8,11.8
2018/1/6,0,11.1,14.6,12.5
2018/1/7,18.5,9.6,17.1,13.4
2018/1/8,39,13.5,19.1,17
2018/1/9,20.5,7.8,13.9,10.7
2018/1/10,6.5,6.2,12,8.7
2018/1/11,39.5,3.3,9.2,6.1
2018/1/12,26.5,2.5,7,5
2018/1/13,0,6.1,9.6,7.6
2018/1/14,0,6.3,13.9,10.3
2018/1/15,0.5,8.9,17.8,12.8
2018/1/16,0,14.4,19.6,17.1
2018/1/17,21,13.5,20.6,17.4
2018/1/18,0,10.8,17.7,14.2
2018/1/19,0,11.5,16.8,13.6
2018/1/20,0,11.8,16.6,13.9
2018/1/21,0.5,10,16.4,13.5
2018/1/22,35.5,11.2,17.1,13.6
2018/1/23,3,9,16.9,11.7
2018/1/24,4,6.6,10.4,8.6
2018/1/25,0,5.7,8.3,7
2018/1/26,0,6.8,8.8,7.6
2018/1/27,0,5.2,10.1,7.3
2018/1/28,15.5,7.7,14.2,10.7
2018/1/29,7,7.7,10.1,9
2018/1/30,0,6.6,9.6,8.3
2018/1/31,0.5,5.8,10.8,8.6
2018/2/1,28.5,7.9,11,9.6
2018/2/2,0,7.3,12.4,10.1
2018/2/3,1,7.4,11.4,9.2
2018/2/4,0,4.4,8.5,6.4
2018/2/5,0,3.1,6.7,5
2018/2/6,36.5,1.7,6.6,4.5
2018/2/7,2,3.7,6.7,5.5
2018/2/8,0.5,4.4,9.8,6.5
2018/2/9,0,4.3,17.9,11.5
2018/2/10,35,11.2,18.6,14.5
2018/2/11,0,7.4,12.2,9
2018/2/12,3,5,10.7,7.4
2018/2/13,0,5,11.2,8
2018/2/14,0,3.7,16.7,10.5
