年月日,降水量の合計(mm),最高気温(℃),最低気温(℃),平均気温(℃)
2009/7/21,118.5,27.1,24.1,25.5
2009/7/22,1,28.3,23.2,25.7
2009/7/23,0,30.4,21.5,26.1
2009/7/24,0.5,29.5,23.5,26.7
2009/7/25,19,30.4,22.8,26.4
2009/7/26,45.5,28.1,23.5,25.3
2009/7/27,7.5,29.8,23.3,25.6
2009/7/28,1,30.5,23.6,26.2
2009/7/29,0,31.1,24.1,27.3
2009/7/30,0,31.2,23.7,26.7
2009/7/31,0,32,23.7,27.2
2009/8/1,63,28.5,22.7,25.3
2009/8/2,0,31.5,22.9,26.9
2009/8/3,1,33,23.8,27.8
2009/8/4,0,32.2,24.6,28.2
2009/8/5,0,32.9,25.1,28.7
2009/8/6,5,34.2,25.5,29.1
2009/8/7,2,33.7,25.8,29.2
2009/8/8,3,34.7,25.9,29.2
2009/8/9,52,27.5,24.8,25.7
2009/8/10,6,31.3,25,27.5
2009/8/11,0,33.1,25.7,29
2009/8/12,0,34.3,26.2,30.2
2009/8/13,3.5,30.9,25.5,28.4
2009/8/14,0,32,25.2,27.6
2009/8/15,1,28.6,23.1,25.5
2009/8/16,0,31,24.3,27.4
2009/8/17,0,32.3,24.1,27.5
2009/8/18,0,32.5,22.6,27.3
2009/8/19,0,32.5,23,27.7
2009/8/20,0,32.3,23.8,27.8
2009/8/21,0,34,26.1,29.7
2009/8/22,0.5,31.5,25.4,27.9
2009/8/23,0,31.7,23.2,26.6
2009/8/24,0,32.7,20.5,26.5
2009/8/25,0,30.4,19.4,24.1
2009/8/26,0,30.7,19.1,24.9
2009/8/27,0,31.8,21.4,27
2009/8/28,0,33.2,25.2,28.5
2009/8/29,2,32.3,24.3,27.9
2009/8/30,0,32,25,27.6
2009/8/31,0,31.9,23.5,27
2009/9/1,0,32.7,20.9,26.6
2009/9/2,0,32.1,21.9,26.6
2009/9/3,0,31,23.8,26.7
2009/9/4,0.5,31.2,24.2,26.7
2009/9/5,0,32.4,22.7,26.8
2009/9/6,0,32.2,22.6,26.9
2009/9/7,0,32,22.4,26.4
2009/9/8,0,30.8,21.9,25.9
2009/9/9,0,29.3,19.3,24.4
2009/9/10,0,30.1,17.4,23.3
2009/9/11,0,29.6,19.3,24.2
2009/9/12,19.5,24.5,19.1,21.4
2009/9/13,0,27.8,19,22.8
2009/9/14,0,28,18.1,23
2009/9/15,0,24.8,17.7,22
2009/9/16,0,29.6,16,22.3
2009/9/17,0,28.1,16.5,22.4
2009/9/18,0,27.4,17.5,21.9
2009/9/19,0,29.2,18.3,23.6
2009/9/20,0,29.8,17.1,23.1
2009/9/21,0,28.7,17.7,23.5
2009/9/22,0,26.2,21.6,23.5
2009/9/23,0,28.3,20.8,23.5
2009/9/24,0,31.3,19.7,24.8
2009/9/25,0,30,19.8,24.7
2009/9/26,0,31.3,20.6,25.1
2009/9/27,2.5,29.6,22,24.2
2009/9/28,0.5,30.2,20.6,24.7
2009/9/29,0,28,23.2,25
2009/9/30,59,23.7,20.8,22
2009/10/1,0,29.4,20.4,24.2
2009/10/2,18,27.4,22.1,23.8
2009/10/3,0,27,17.3,22.2
2009/10/4,0,26,16.6,20.7
2009/10/5,0,24.9,16.6,20.6
2009/10/6,1.5,22,18.3,20
2009/10/7,27.5,20.3,17.8,18.8
2009/10/8,4,23.9,16.8,19.8
2009/10/9,0,22.3,14.1,17.7
2009/10/10,0,22.8,12.8,17.5
2009/10/11,0,24.1,11.9,17.2
2009/10/12,0,23.2,12.3,17.5
2009/10/13,0,24.1,14.8,19
2009/10/14,4,23.4,13.1,17.3
2009/10/15,0,22.5,11.6,16.6
2009/10/16,0,23.3,13.2,18.1
2009/10/17,0,26.2,16.6,20.9
2009/10/18,0,22.8,14.1,19.2
2009/10/19,0,25.2,14.4,20.7
2009/10/20,0,21.9,12.9,18
2009/10/21,0,22,10.8,16.2
2009/10/22,0,23.1,11.6,17.3
2009/10/23,0,23.9,12,18
2009/10/24,0,21.9,15.5,18.1
2009/10/25,7,20.7,14.1,17.3
2009/10/26,7,19.5,15.3,17.1
2009/10/27,0,21.8,11.3,16
2009/10/28,0,23.2,11.6,16.7
2009/10/29,0,23.5,11.9,17.1
2009/10/30,0,23.7,12.5,17.8
2009/10/31,0,25.2,13,18.8
2009/11/1,28.5,23.3,13.3,18.8
2009/11/2,1,18.4,8.5,13.6
2009/11/3,0,15.3,6,10
2009/11/4,0,18.6,6.9,12.6
2009/11/5,0,20.9,11.5,15.5
2009/11/6,0,23,11.4,16.7
2009/11/7,0,24,13.7,18.8
2009/11/8,0,24.2,14.7,19.2
2009/11/9,0,23.8,16.5,19.6
2009/11/10,18.5,20.6,15.6,17.7
2009/11/11,29,19,15.2,17.4
2009/11/12,0,18.7,13.9,15.7
2009/11/13,24,21.4,13.5,16.5
2009/11/14,3,21.1,14.9,17.3
2009/11/15,0,15.7,11.7,13.7
2009/11/16,1.5,13.2,9.6,11.7
2009/11/17,17,10,7.1,8.4
2009/11/18,0,13.6,5.6,9.5
2009/11/19,0,14.6,7,10.3
2009/11/20,0,14,4.3,9.3
2009/11/21,0,14,6,9.9
2009/11/22,4.5,10.7,5.8,8.4
2009/11/23,0,16.5,6.4,10.4
2009/11/24,3,12.5,5.5,9.6
2009/11/25,0.5,18.7,11.2,13.9
2009/11/26,0,19,8.3,12.7
2009/11/27,0,20.4,8.5,14.1
2009/11/28,0,19.3,10.9,14.4
2009/11/29,0.5,14.7,8,10.8
2009/11/30,0,16,7,11.1
2009/12/1,0,17.4,6.4,11.3
2009/12/2,0,18.4,6.5,11.8
2009/12/3,5,16.3,8,11.8
2009/12/4,0,16,5.5,10
2009/12/5,0.5,18.6,7.6,12.2
2009/12/6,0,10.6,6.7,8.7
2009/12/7,0,12.4,2.4,6.9
2009/12/8,0,14.4,2.8,8
